date,co2
2024/5/1,12.68
2024/5/2,12.91
2024/5/3,13.4
2024/5/4,12.38
2024/5/5,11.42
2024/5/6,12.19
2024/5/7,12.6
2024/5/8,13.14
2024/5/9,13.72
2024/5/10,13.58
2024/5/11,12.72
2024/5/12,11.08
2024/5/13,11.78
2024/5/14,12.87
2024/5/15,13.09
2024/5/16,13.06
2024/5/17,13.4
2024/5/18,12.28
2024/5/19,11.32
2024/5/20,12.26
2024/5/21,13.36
2024/5/22,13.55
2024/5/23,13.8
2024/5/24,13.42
2024/5/25,12.62
2024/5/26,11.18
2024/5/27,11.18
2024/5/28,12.96
2024/5/29,13.19
2024/5/30,13.26
2024/5/31,12.9
2024/6/1,11.94
2024/6/2,10.88
2024/6/3,11.72
2024/6/4,13.37
2024/6/5,13.78
2024/6/6,13.91
2024/6/7,13.83
2024/6/8,12.68
2024/6/9,11.46
2024/6/10,12.5
2024/6/11,13.37
2024/6/12,13.36
2024/6/13,13.59
2024/6/14,14.29
2024/6/15,13.83
2024/6/16,11.89
2024/6/17,12.82
2024/6/18,14.31
2024/6/19,14.23
2024/6/20,14.96
2024/6/21,15.26
2024/6/22,14.64
2024/6/23,13.79
2024/6/24,14.83
2024/6/25,15.18
2024/6/26,15.56
2024/6/27,15.72
2024/6/28,14.67
2024/6/29,13.73
2024/6/30,13.32
2024/7/1,13.18
2024/7/2,13.12
2024/7/3,13.69
2024/7/4,12.91
2024/7/5,13.4
2024/7/6,13.09
2024/7/7,12.68
2024/7/8,13.84
2024/7/9,15.25
2024/7/10,15.48
2024/7/11,15.24
2024/7/12,14.87
2024/7/13,14
2024/7/14,13.2
2024/7/15,14.42
2024/7/16,15.52
2024/7/17,15.63
2024/7/18,15.28
2024/7/19,14.49
2024/7/20,13.59
2024/7/21,12.93
2024/7/22,13.91
2024/7/23,14.92
2024/7/24,15.13
2024/7/25,15.09
2024/7/26,14.51
2024/7/27,13.3
2024/7/28,11.98
2024/7/29,12.97
2024/7/30,14.42
2024/7/31,14.78
2024/8/1,15.45
2024/8/2,16.1
2024/8/3,15.48
2024/8/4,13.92
2024/8/5,14.65
2024/8/6,15.51
2024/8/7,15.27
2024/8/8,15.05
2024/8/9,14.6
2024/8/10,13.88
2024/8/11,12.67
2024/8/12,13.24
2024/8/13,14.3
2024/8/14,14.37
2024/8/15,14.4
2024/8/16,14.77
2024/8/17,14.15
2024/8/18,13.16
2024/8/19,13.91
2024/8/20,14.5
2024/8/21,13.88
2024/8/22,13.52
2024/8/23,13.35
2024/8/24,12.8
2024/8/25,11.98
2024/8/26,13.7
2024/8/27,15.31
2024/8/28,15.62
2024/8/29,15.47
2024/8/30,15.08
2024/8/31,14.04
2024/9/1,13.24
2024/9/2,12.25
2024/9/3,13.67
2024/9/4,14.13
2024/9/5,14.57
2024/9/6,14.92
2024/9/7,13.7
2024/9/8,12.01
2024/9/9,12.68
2024/9/10,13.56
2024/9/11,13.74
2024/9/12,13.94
2024/9/13,13.69
2024/9/14,13.2
2024/9/15,12.45
2024/9/16,13.45
2024/9/17,13.98
2024/9/18,13.68
2024/9/19,13.95
2024/9/20,14.47
2024/9/21,13.92
2024/9/22,12.61
2024/9/23,13.52
2024/9/24,14.6
2024/9/25,14.55
2024/9/26,14.17
2024/9/27,13.96
2024/9/28,13.06
2024/9/29,12.01
2024/9/30,12.99
2024/10/1,14.27
2024/10/2,14.13
2024/10/3,13.75
2024/10/4,13.95
2024/10/5,13.4
2024/10/6,12.1
2024/10/7,13.23
2024/10/8,14.33
2024/10/9,13.77
2024/10/10,13.62
2024/10/11,13.4
2024/10/12,12.44
2024/10/13,11.78
2024/10/14,12.25
2024/10/15,13.96
2024/10/16,13.76
2024/10/17,13.36
2024/10/18,12.68
2024/10/19,11.86
2024/10/20,10.93
2024/10/21,11.66
2024/10/22,12.65
2024/10/23,13.33
2024/10/24,13.7
2024/10/25,13.27
2024/10/26,12.88
2024/10/27,11.95
2024/10/28,12.52
2024/10/29,12.9
2024/10/30,12.84
2024/10/31,13.25
2024/11/1,13.72
2024/11/2,12.89
2024/11/3,11.53
2024/11/4,12.37
2024/11/5,13.28
2024/11/6,13.57
2024/11/7,14
2024/11/8,14.24
2024/11/9,13.31
2024/11/10,11.77
2024/11/11,12.56
2024/11/12,13.58
2024/11/13,13.33
2024/11/14,13.86
2024/11/15,14.24
2024/11/16,12.83
2024/11/17,11.11
2024/11/18,12.87
2024/11/19,13.06
2024/11/20,13.29
2024/11/21,13.98
2024/11/22,14.91
2024/11/23,14.28
2024/11/24,12.14
2024/11/25,12.68
2024/11/26,13.97
2024/11/27,14.37
2024/11/28,12.43
2024/11/29,13.04
2024/11/30,13.99
2024/12/1,13.78
2024/12/2,15.39
2024/12/3,16.32
2024/12/4,15.82
2024/12/5,15.59
2024/12/6,16.24
2024/12/7,15.78
2024/12/8,13.5
2024/12/9,13.07
2024/12/10,13.83
2024/12/11,14.57
2024/12/12,15.55
2024/12/13,15.97
2024/12/14,14.42
2024/12/15,13.12
2024/12/16,13.29
2024/12/17,13.75
2024/12/18,14.08
2024/12/19,14.4
2024/12/20,14.84
2024/12/21,14.92
2024/12/22,14.51
2024/12/23,14.56
2024/12/24,14.44
2024/12/25,11.74
2024/12/26,12.66
2024/12/27,13.71
2024/12/28,12.54
2024/12/29,11.47
2024/12/30,11.89
2024/12/31,11.92
